-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1998 through 12/31/2009 
Location: Latitude  47.0   Longitude -95.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 438.39 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,PRECTOTCORR,RH2M,WS10M
1998,1,1,1.32,-5.86,0.13,95.88,4.95
1998,1,2,1.21,-5.15,0.09,90.88,6.27
1998,1,3,1.59,-17.6,0.01,79.75,7.87
1998,1,4,1.56,-14.13,0.45,91.62,3.44
1998,1,5,1.35,-7.24,3.18,97.88,4.08
1998,1,6,1.74,-9.67,0.3,95.94,3.05
1998,1,7,1.84,-10.38,0.05,96.81,3.53
1998,1,8,1.25,-6.6,0.3,96.12,5.41
1998,1,9,1.14,-15.41,2.01,86.75,8.87
1998,1,10,1.47,-20.63,0.54,86.25,10.59
1998,1,11,1.08,-19.9,1.91,89.81,4.12
1998,1,12,1.59,-22.92,0.24,85.75,6.46
1998,1,13,1.71,-23.85,0.95,91.38,3.94
1998,1,14,1.77,-17.17,1.95,94.62,4.61
1998,1,15,1.3,-14.17,0.26,97.19,6.39
1998,1,16,1.8,-9.54,0.5,96.94,4.38
1998,1,17,2.0,-14.02,0.17,97.5,4.69
1998,1,18,1.97,-14.15,0.22,95.62,4.38
1998,1,19,2.12,-15.67,0.13,96.25,3.27
1998,1,20,2.01,-13.75,0.1,97.06,4.55
1998,1,21,2.05,-9.01,0.15,96.06,4.42
1998,1,22,2.07,-8.53,0.7,98.38,4.25
