year,lai
2001.0,0.032456487
2001.0,0.030846393
2001.0,0.028368112
2001.0,0.0225076
2001.0,0.018449308
2001.0,0.015004003
2001.0,0.00958852
2001.0,0.011457411
2001.0,0.025832957
2001.0,0.066224486
2001.0,0.11406558
2001.0,0.19545533
2001.0,0.312149
2001.0,0.4454612
2001.0,0.6111258
2001.0,0.80869955
2001.0,1.0315994
2001.0,1.2422893
2001.0,1.4486797
2001.0,1.6192676
2001.0,1.7423327
2001.0,1.8542436
2001.0,1.9675459
2001.0,2.0774028
2001.0,2.168071
2001.0,2.2458375
2001.0,2.3110523
2001.0,2.313257
2001.0,2.250155
2001.0,2.1162481
2001.0,1.9403075
2001.0,1.6995223
2001.0,1.4656663
2001.0,1.2999331
2001.0,1.0342593
2001.0,0.8284878
2001.0,0.6602012
2001.0,0.5334709
2001.0,0.43224198
2001.0,0.35256544
2001.0,0.30207282
2001.0,0.24959461
2001.0,0.23562272
2001.0,0.21895438
2001.0,0.21406977
2001.0,0.1889936
2002.0,0.17762682
2002.0,0.18215196
2002.0,0.15391055
2002.0,0.13994907
2002.0,0.13123305
2002.0,0.13710408
2002.0,0.10949714
2002.0,0.10584745
2002.0,0.117843725
2002.0,0.13945238
2002.0,0.17740002
2002.0,0.212586
2002.0,0.30130112
2002.0,0.38207775
2002.0,0.5095021
2002.0,0.6140901
2002.0,0.7760245
2002.0,0.9829758
2002.0,1.2505933
2002.0,1.5219979
2002.0,1.8218867
2002.0,2.0455217
2002.0,2.290624
2002.0,2.465536
2002.0,2.642984
2002.0,2.7718217
2002.0,2.8446794
2002.0,2.8087952
2002.0,2.6902044
2002.0,2.4933224
2002.0,2.2693827
2002.0,1.9880148
2002.0,1.6931256
2002.0,1.406691
2002.0,1.1270752
2002.0,0.8872882
2002.0,0.7058916
2002.0,0.5819238
2002.0,0.494915
2002.0,0.41692847
2002.0,0.36636853
2002.0,0.33318344
2002.0,0.30973375
2002.0,0.29954728
2002.0,0.28383693
2002.0,0.269318
2003.0,0.25362444
2003.0,0.25007197
2003.0,0.22427736
2003.0,0.18556099
2003.0,0.16967301
2003.0,0.15888618
2003.0,0.15551387
2003.0,0.15891603
2003.0,0.17429033
2003.0,0.20092265
2003.0,0.27599427
2003.0,0.30266806
2003.0,0.37590265
2003.0,0.46840444
2003.0,0.58540404
2003.0,0.729707
2003.0,0.91441786
2003.0,1.1369406
2003.0,1.3699399
2003.0,1.5928289
2003.0,1.814562
2003.0,1.9917867
2003.0,2.1630542
2003.0,2.2740538
2003.0,2.3625636
2003.0,2.3809142
2003.0,2.356263
2003.0,2.2479074
2003.0,2.0845683
2003.0,1.8895243
2003.0,1.6845996
2003.0,1.4746438
2003.0,1.289393
2003.0,1.1143667
2003.0,0.98633224
2003.0,0.7846622
2003.0,0.64463973
2003.0,0.52629125
2003.0,0.4265036
2003.0,0.3488826
2003.0,0.2779117
2003.0,0.21551867
2003.0,0.1868524
2003.0,0.16446036
2003.0,0.14562416
2003.0,0.12999588
2004.0,0.12308983
2004.0,0.1282815
2004.0,0.11277924
2004.0,0.092039876
2004.0,0.0843597
2004.0,0.085472435
2004.0,0.09453046
2004.0,0.11400194
2004.0,0.13948056
2004.0,0.17693475
2004.0,0.2440177
2004.0,0.3193531
2004.0,0.3742577
2004.0,0.4699114
2004.0,0.58927286
2004.0,0.72484535
2004.0,0.8971286
2004.0,1.1077971
2004.0,1.3416075
2004.0,1.5725845
2004.0,1.7586217
2004.0,1.9084668
2004.0,2.048334
2004.0,2.1771612
2004.0,2.3005362
2004.0,2.3664114
2004.0,2.401914
2004.0,2.3417392
2004.0,2.2494788
2004.0,2.0920436
2004.0,1.9219332
2004.0,1.7048559
2004.0,1.5021565
2004.0,1.3032595
2004.0,1.0699769
2004.0,0.8647322
2004.0,0.6954815
2004.0,0.56498384
2004.0,0.46327695
2004.0,0.3865792
2004.0,0.31638783
2004.0,0.29961416
2004.0,0.24730323
2004.0,0.23544464
2004.0,0.21452749
2004.0,0.18074341
2005.0,0.15886246
2005.0,0.13847591
2005.0,0.12212062
2005.0,0.115268275
2005.0,0.1162086
2005.0,0.13180192
2005.0,0.13766313
2005.0,0.16264763
2005.0,0.1943362
2005.0,0.23425296
2005.0,0.274305
2005.0,0.32547417
2005.0,0.4004124
2005.0,0.47656432
2005.0,0.57308054
2005.0,0.69716036
2005.0,0.8508313
2005.0,1.074063
2005.0,1.3301456
2005.0,1.6265107
2005.0,1.9327358
2005.0,2.1855264
2005.0,2.3401597
2005.0,2.4597507
2005.0,2.508855
2005.0,2.5221474
2005.0,2.4987228
2005.0,2.4183004
2005.0,2.2897367
2005.0,2.1380527
2005.0,1.978495
2005.0,1.7692001
2005.0,1.5709864
2005.0,1.3560591
2005.0,1.1301771
2005.0,0.92865986
2005.0,0.75776845
2005.0,0.61284643
2005.0,0.48964152
2005.0,0.3821704
2005.0,0.28007272
2005.0,0.20811643
2005.0,0.14865795
