-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2001 through 12/31/2009 
Location: Latitude  47.0   Longitude -95.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 438.39 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2000,12,31,18,0.0
2000,12,31,19,0.0
2000,12,31,20,0.0
2000,12,31,21,0.0
2000,12,31,22,0.0
2000,12,31,23,0.0
2001,1,1,0,0.0
2001,1,1,1,0.0
2001,1,1,2,0.0
2001,1,1,3,0.0
2001,1,1,4,0.0
2001,1,1,5,0.0
2001,1,1,6,0.0
2001,1,1,7,0.0
2001,1,1,8,27.06
2001,1,1,9,152.98
2001,1,1,10,264.33
2001,1,1,11,337.59
2001,1,1,12,357.82
2001,1,1,13,337.59
2001,1,1,14,257.77
2001,1,1,15,135.88
2001,1,1,16,17.92
2001,1,1,17,0.0
2001,1,1,18,0.0
2001,1,1,19,0.0
2001,1,1,20,0.0
2001,1,1,21,0.0
2001,1,1,22,0.0
2001,1,1,23,0.0
2001,1,2,0,0.0
2001,1,2,1,0.0
2001,1,2,2,0.0
2001,1,2,3,0.0
2001,1,2,4,0.0
2001,1,2,5,0.0
2001,1,2,6,0.0
2001,1,2,7,0.0
2001,1,2,8,26.8
2001,1,2,9,108.22
2001,1,2,10,192.55
2001,1,2,11,301.05
2001,1,2,12,187.14
2001,1,2,13,147.99
2001,1,2,14,144.86
2001,1,2,15,75.59
2001,1,2,16,13.16
2001,1,2,17,0.0
2001,1,2,18,0.0
2001,1,2,19,0.0
2001,1,2,20,0.0
2001,1,2,21,0.0
2001,1,2,22,0.0
2001,1,2,23,0.0
2001,1,3,0,0.0
2001,1,3,1,0.0
2001,1,3,2,0.0
2001,1,3,3,0.0
2001,1,3,4,0.0
2001,1,3,5,0.0
2001,1,3,6,0.0
2001,1,3,7,0.0
2001,1,3,8,24.02
2001,1,3,9,53.57
2001,1,3,10,113.58
2001,1,3,11,136.66
2001,1,3,12,135.44
2001,1,3,13,122.49
2001,1,3,14,88.39
2001,1,3,15,110.53
2001,1,3,16,13.42
2001,1,3,17,0.0
2001,1,3,18,0.0
2001,1,3,19,0.0
2001,1,3,20,0.0
2001,1,3,21,0.0
2001,1,3,22,0.0
2001,1,3,23,0.0
2001,1,4,0,0.0
2001,1,4,1,0.0
2001,1,4,2,0.0
2001,1,4,3,0.0
2001,1,4,4,0.0
2001,1,4,5,0.0
2001,1,4,6,0.0
2001,1,4,7,0.0
2001,1,4,8,17.3
2001,1,4,9,81.82
2001,1,4,10,127.11
