-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2001 through 12/31/2009 
Location: Latitude  47.0   Longitude -95.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 438.39 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,HR,RH2M
2000,12,31,18,100.0
2000,12,31,19,100.0
2000,12,31,20,100.0
2000,12,31,21,100.0
2000,12,31,22,100.0
2000,12,31,23,100.0
2001,1,1,0,100.0
2001,1,1,1,99.75
2001,1,1,2,100.0
2001,1,1,3,100.0
2001,1,1,4,100.0
2001,1,1,5,100.0
2001,1,1,6,100.0
2001,1,1,7,100.0
2001,1,1,8,99.62
2001,1,1,9,98.44
2001,1,1,10,97.69
2001,1,1,11,97.62
2001,1,1,12,97.0
2001,1,1,13,95.75
2001,1,1,14,94.81
2001,1,1,15,96.19
2001,1,1,16,99.19
2001,1,1,17,100.0
2001,1,1,18,100.0
2001,1,1,19,99.5
2001,1,1,20,98.56
2001,1,1,21,98.25
2001,1,1,22,98.25
2001,1,1,23,98.31
2001,1,2,0,98.25
2001,1,2,1,98.19
2001,1,2,2,98.12
2001,1,2,3,98.06
2001,1,2,4,98.06
2001,1,2,5,98.06
2001,1,2,6,98.12
2001,1,2,7,98.12
2001,1,2,8,98.19
2001,1,2,9,98.69
2001,1,2,10,98.62
2001,1,2,11,98.69
2001,1,2,12,97.75
2001,1,2,13,97.19
2001,1,2,14,96.69
2001,1,2,15,97.25
2001,1,2,16,98.06
2001,1,2,17,98.0
2001,1,2,18,98.25
2001,1,2,19,98.88
2001,1,2,20,99.12
2001,1,2,21,99.12
2001,1,2,22,99.25
2001,1,2,23,99.31
2001,1,3,0,99.62
2001,1,3,1,100.0
2001,1,3,2,100.0
2001,1,3,3,100.0
2001,1,3,4,100.0
2001,1,3,5,100.0
2001,1,3,6,100.0
2001,1,3,7,100.0
2001,1,3,8,100.0
2001,1,3,9,100.0
2001,1,3,10,99.94
2001,1,3,11,99.69
2001,1,3,12,99.25
2001,1,3,13,98.81
2001,1,3,14,98.38
2001,1,3,15,98.88
2001,1,3,16,100.0
2001,1,3,17,100.0
2001,1,3,18,100.0
2001,1,3,19,100.0
2001,1,3,20,100.0
2001,1,3,21,100.0
2001,1,3,22,100.0
2001,1,3,23,99.94
2001,1,4,0,99.62
2001,1,4,1,99.69
2001,1,4,2,99.94
2001,1,4,3,100.0
2001,1,4,4,99.75
2001,1,4,5,99.31
2001,1,4,6,98.75
2001,1,4,7,97.88
2001,1,4,8,96.81
2001,1,4,9,95.12
2001,1,4,10,92.44
2001,1,4,11,90.94
2001,1,4,12,89.94
2001,1,4,13,91.44
2001,1,4,14,92.25
2001,1,4,15,92.25
2001,1,4,16,92.12
2001,1,4,17,92.44
2001,1,4,18,93.06
2001,1,4,19,94.12
2001,1,4,20,95.5
2001,1,4,21,96.31
2001,1,4,22,96.62
2001,1,4,23,96.75
2001,1,5,0,97.12
2001,1,5,1,97.19
2001,1,5,2,97.06
2001,1,5,3,97.31
