-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2001 through 12/31/2009 
Location: Latitude  47.0   Longitude -95.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 438.39 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,T2M
2000,12,31,18,-22.83
2000,12,31,19,-23.67
2000,12,31,20,-23.99
2000,12,31,21,-23.81
2000,12,31,22,-23.38
2000,12,31,23,-23.17
2001,1,1,0,-23.31
2001,1,1,1,-24.02
2001,1,1,2,-24.93
2001,1,1,3,-25.78
2001,1,1,4,-26.49
2001,1,1,5,-27.17
2001,1,1,6,-27.67
2001,1,1,7,-27.91
2001,1,1,8,-27.82
2001,1,1,9,-26.06
2001,1,1,10,-23.95
2001,1,1,11,-21.72
2001,1,1,12,-19.49
2001,1,1,13,-17.72
2001,1,1,14,-16.82
2001,1,1,15,-17.26
2001,1,1,16,-19.96
2001,1,1,17,-22.19
2001,1,1,18,-22.13
2001,1,1,19,-21.42
2001,1,1,20,-21.06
2001,1,1,21,-21.16
2001,1,1,22,-21.13
2001,1,1,23,-20.92
2001,1,2,0,-20.57
2001,1,2,1,-20.17
2001,1,2,2,-19.85
2001,1,2,3,-19.65
2001,1,2,4,-19.5
2001,1,2,5,-19.38
2001,1,2,6,-19.3
2001,1,2,7,-19.2
2001,1,2,8,-18.88
2001,1,2,9,-17.32
2001,1,2,10,-14.54
2001,1,2,11,-13.01
2001,1,2,12,-11.64
2001,1,2,13,-10.95
2001,1,2,14,-10.67
2001,1,2,15,-10.7
2001,1,2,16,-10.92
2001,1,2,17,-10.79
2001,1,2,18,-10.61
2001,1,2,19,-10.85
2001,1,2,20,-10.98
2001,1,2,21,-10.99
2001,1,2,22,-10.95
2001,1,2,23,-10.85
2001,1,3,0,-10.84
2001,1,3,1,-10.87
2001,1,3,2,-11.18
2001,1,3,3,-11.76
2001,1,3,4,-11.8
2001,1,3,5,-11.48
2001,1,3,6,-11.42
2001,1,3,7,-11.6
2001,1,3,8,-11.66
2001,1,3,9,-10.2
2001,1,3,10,-8.42
2001,1,3,11,-7.33
2001,1,3,12,-6.25
2001,1,3,13,-5.31
2001,1,3,14,-4.66
2001,1,3,15,-4.8
2001,1,3,16,-6.56
2001,1,3,17,-8.08
2001,1,3,18,-8.38
2001,1,3,19,-8.47
2001,1,3,20,-8.64
2001,1,3,21,-8.97
2001,1,3,22,-9.17
2001,1,3,23,-9.17
2001,1,4,0,-9.08
2001,1,4,1,-9.27
2001,1,4,2,-9.54
2001,1,4,3,-9.38
2001,1,4,4,-8.95
2001,1,4,5,-8.36
2001,1,4,6,-7.85
2001,1,4,7,-7.07
2001,1,4,8,-6.07
2001,1,4,9,-4.62
2001,1,4,10,-1.99
2001,1,4,11,0.19
2001,1,4,12,1.13
2001,1,4,13,1.03
2001,1,4,14,0.93
2001,1,4,15,0.87
2001,1,4,16,0.83
2001,1,4,17,0.7
2001,1,4,18,-0.18
2001,1,4,19,-1.09
2001,1,4,20,-1.74
2001,1,4,21,-2.06
2001,1,4,22,-2.2
2001,1,4,23,-2.53
2001,1,5,0,-2.92
2001,1,5,1,-3.16
2001,1,5,2,-3.28
2001,1,5,3,-3.48
2001,1,5,4,-3.63
2001,1,5,5,-3.83
2001,1,5,6,-4.89
2001,1,5,7,-7.6
2001,1,5,8,-11.31
2001,1,5,9,-13.41
2001,1,5,10,-13.52
2001,1,5,11,-12.88
2001,1,5,12,-12.06
2001,1,5,13,-11.29
2001,1,5,14,-10.77
2001,1,5,15,-10.83
2001,1,5,16,-12.31
2001,1,5,17,-12.96
2001,1,5,18,-12.5
2001,1,5,19,-13.31
2001,1,5,20,-12.52
2001,1,5,21,-11.6
2001,1,5,22,-11.49
2001,1,5,23,-11.43
2001,1,6,0,-10.74
2001,1,6,1,-8.63
2001,1,6,2,-6.56
2001,1,6,3,-3.81
2001,1,6,4,-2.56
2001,1,6,5,-2.11
2001,1,6,6,-1.76
2001,1,6,7,-1.77
2001,1,6,8,-2.08
2001,1,6,9,-2.24
2001,1,6,10,-2.61
2001,1,6,11,-3.15
2001,1,6,12,-3.95
2001,1,6,13,-4.88
2001,1,6,14,-5.88
2001,1,6,15,-6.99
2001,1,6,16,-8.17
2001,1,6,17,-9.04
2001,1,6,18,-9.56
2001,1,6,19,-9.99
2001,1,6,20,-10.53
2001,1,6,21,-11.13
2001,1,6,22,-11.85
2001,1,6,23,-12.76
2001,1,7,0,-13.95
2001,1,7,1,-15.22
2001,1,7,2,-16.22
2001,1,7,3,-16.85
2001,1,7,4,-17.17
2001,1,7,5,-17.27
2001,1,7,6,-17.26
2001,1,7,7,-17.3
2001,1,7,8,-17.14
2001,1,7,9,-15.74
2001,1,7,10,-13.68
2001,1,7,11,-11.85
2001,1,7,12,-10.65
2001,1,7,13,-9.93
2001,1,7,14,-9.6
2001,1,7,15,-9.71
2001,1,7,16,-11.11
2001,1,7,17,-12.58
2001,1,7,18,-12.88
2001,1,7,19,-12.79
2001,1,7,20,-12.67
2001,1,7,21,-12.66
2001,1,7,22,-12.9
2001,1,7,23,-13.23
2001,1,8,0,-13.73
2001,1,8,1,-15.1
2001,1,8,2,-16.84
2001,1,8,3,-18.25
2001,1,8,4,-19.06
2001,1,8,5,-19.05
2001,1,8,6,-18.68
2001,1,8,7,-18.63
2001,1,8,8,-18.83
2001,1,8,9,-17.62
2001,1,8,10,-14.85
2001,1,8,11,-12.9
2001,1,8,12,-11.47
2001,1,8,13,-9.55
2001,1,8,14,-8.85
2001,1,8,15,-9.62
2001,1,8,16,-11.77
2001,1,8,17,-13.98
2001,1,8,18,-15.82
2001,1,8,19,-16.87
2001,1,8,20,-17.42
2001,1,8,21,-17.64
2001,1,8,22,-17.31
2001,1,8,23,-16.68
2001,1,9,0,-15.88
2001,1,9,1,-15.08
2001,1,9,2,-14.75
2001,1,9,3,-14.68
2001,1,9,4,-14.6
2001,1,9,5,-14.57
2001,1,9,6,-14.42
2001,1,9,7,-13.99
2001,1,9,8,-13.12
2001,1,9,9,-11.03
2001,1,9,10,-8.26
2001,1,9,11,-5.46
2001,1,9,12,-3.73
2001,1,9,13,-2.54
2001,1,9,14,-1.93
2001,1,9,15,-2.04
2001,1,9,16,-2.85
2001,1,9,17,-3.6
2001,1,9,18,-4.0
2001,1,9,19,-4.38
2001,1,9,20,-4.81
2001,1,9,21,-5.21
2001,1,9,22,-5.69
2001,1,9,23,-6.16
2001,1,10,0,-6.52
2001,1,10,1,-6.83
2001,1,10,2,-7.21
2001,1,10,3,-7.75
2001,1,10,4,-8.38
2001,1,10,5,-8.93
2001,1,10,6,-9.57
2001,1,10,7,-10.43
2001,1,10,8,-10.88
2001,1,10,9,-9.02
2001,1,10,10,-6.01
2001,1,10,11,-4.44
2001,1,10,12,-3.13
2001,1,10,13,-2.2
2001,1,10,14,-1.77
2001,1,10,15,-2.1
2001,1,10,16,-3.28
2001,1,10,17,-4.29
2001,1,10,18,-5.05
2001,1,10,19,-5.91
2001,1,10,20,-6.99
2001,1,10,21,-7.86
2001,1,10,22,-8.36
2001,1,10,23,-8.59
2001,1,11,0,-8.68
2001,1,11,1,-8.56
2001,1,11,2,-8.44
2001,1,11,3,-8.64
2001,1,11,4,-9.19
2001,1,11,5,-9.87
2001,1,11,6,-10.51
2001,1,11,7,-11.04
2001,1,11,8,-11.23
2001,1,11,9,-10.46
2001,1,11,10,-9.12
2001,1,11,11,-7.56
2001,1,11,12,-5.91
2001,1,11,13,-4.24
2001,1,11,14,-3.53
2001,1,11,15,-3.23
2001,1,11,16,-3.55
2001,1,11,17,-4.14
2001,1,11,18,-4.19
2001,1,11,19,-4.1
2001,1,11,20,-4.09
2001,1,11,21,-4.13
2001,1,11,22,-4.26
2001,1,11,23,-4.49
2001,1,12,0,-4.75
2001,1,12,1,-5.06
2001,1,12,2,-5.39
2001,1,12,3,-6.06
2001,1,12,4,-6.71
2001,1,12,5,-7.16
2001,1,12,6,-7.53
2001,1,12,7,-7.85
2001,1,12,8,-8.03
2001,1,12,9,-7.21
2001,1,12,10,-6.42
2001,1,12,11,-5.63
2001,1,12,12,-4.39
2001,1,12,13,-3.43
2001,1,12,14,-3.13
2001,1,12,15,-3.49
2001,1,12,16,-4.98
2001,1,12,17,-6.18
2001,1,12,18,-6.6
2001,1,12,19,-7.13
2001,1,12,20,-7.77
2001,1,12,21,-8.06
2001,1,12,22,-8.27
2001,1,12,23,-8.45
2001,1,13,0,-8.44
2001,1,13,1,-8.33
2001,1,13,2,-8.29
2001,1,13,3,-8.62
2001,1,13,4,-8.92
2001,1,13,5,-8.76
2001,1,13,6,-8.3
2001,1,13,7,-7.75
2001,1,13,8,-7.03
2001,1,13,9,-6.06
2001,1,13,10,-5.04
2001,1,13,11,-4.22
2001,1,13,12,-3.48
2001,1,13,13,-3.02
2001,1,13,14,-2.83
2001,1,13,15,-2.94
2001,1,13,16,-3.42
2001,1,13,17,-3.82
2001,1,13,18,-3.91
2001,1,13,19,-3.81
2001,1,13,20,-3.71
2001,1,13,21,-3.64
2001,1,13,22,-3.56
2001,1,13,23,-3.49
2001,1,14,0,-3.32
2001,1,14,1,-2.95
2001,1,14,2,-2.55
2001,1,14,3,-2.34
2001,1,14,4,-2.39
2001,1,14,5,-2.7
2001,1,14,6,-3.18
2001,1,14,7,-3.75
2001,1,14,8,-4.33
2001,1,14,9,-4.67
2001,1,14,10,-4.7
2001,1,14,11,-4.47
2001,1,14,12,-3.97
2001,1,14,13,-3.64
2001,1,14,14,-3.7
2001,1,14,15,-4.07
2001,1,14,16,-4.64
2001,1,14,17,-5.13
2001,1,14,18,-5.41
2001,1,14,19,-5.62
2001,1,14,20,-5.81
2001,1,14,21,-6.01
2001,1,14,22,-6.24
2001,1,14,23,-6.49
2001,1,15,0,-6.72
2001,1,15,1,-6.94
2001,1,15,2,-7.14
2001,1,15,3,-7.37
2001,1,15,4,-7.67
2001,1,15,5,-8.1
2001,1,15,6,-8.67
2001,1,15,7,-9.36
2001,1,15,8,-10.0
2001,1,15,9,-10.37
2001,1,15,10,-10.36
2001,1,15,11,-10.27
2001,1,15,12,-10.28
2001,1,15,13,-10.42
2001,1,15,14,-10.81
2001,1,15,15,-11.35
2001,1,15,16,-11.98
2001,1,15,17,-12.2
2001,1,15,18,-12.03
2001,1,15,19,-11.92
2001,1,15,20,-12.0
2001,1,15,21,-12.58
2001,1,15,22,-13.92
2001,1,15,23,-15.25
2001,1,16,0,-15.99
2001,1,16,1,-16.52
2001,1,16,2,-16.96
2001,1,16,3,-17.14
2001,1,16,4,-16.98
2001,1,16,5,-16.87
2001,1,16,6,-17.18
2001,1,16,7,-17.63
2001,1,16,8,-17.32
2001,1,16,9,-16.29
2001,1,16,10,-15.13
2001,1,16,11,-13.56
2001,1,16,12,-12.38
2001,1,16,13,-11.89
2001,1,16,14,-11.85
2001,1,16,15,-12.12
2001,1,16,16,-13.09
2001,1,16,17,-14.92
2001,1,16,18,-16.22
2001,1,16,19,-17.0
2001,1,16,20,-17.56
2001,1,16,21,-17.98
2001,1,16,22,-18.17
2001,1,16,23,-18.0
2001,1,17,0,-17.93
2001,1,17,1,-18.17
2001,1,17,2,-18.34
2001,1,17,3,-18.1
2001,1,17,4,-17.63
2001,1,17,5,-17.39
2001,1,17,6,-17.31
2001,1,17,7,-17.2
2001,1,17,8,-16.78
2001,1,17,9,-15.49
2001,1,17,10,-13.39
2001,1,17,11,-10.89
2001,1,17,12,-8.27
2001,1,17,13,-6.22
2001,1,17,14,-5.19
2001,1,17,15,-4.91
2001,1,17,16,-5.08
2001,1,17,17,-5.27
2001,1,17,18,-5.39
2001,1,17,19,-5.55
2001,1,17,20,-5.69
2001,1,17,21,-5.78
2001,1,17,22,-5.85
2001,1,17,23,-6.03
2001,1,18,0,-6.52
2001,1,18,1,-7.2
2001,1,18,2,-7.7
2001,1,18,3,-7.7
2001,1,18,4,-7.47
2001,1,18,5,-7.81
2001,1,18,6,-9.15
2001,1,18,7,-10.52
2001,1,18,8,-11.01
2001,1,18,9,-10.75
2001,1,18,10,-10.3
2001,1,18,11,-10.07
2001,1,18,12,-10.35
2001,1,18,13,-11.02
2001,1,18,14,-11.9
2001,1,18,15,-13.22
2001,1,18,16,-14.92
2001,1,18,17,-16.18
2001,1,18,18,-16.93
2001,1,18,19,-17.7
2001,1,18,20,-18.54
2001,1,18,21,-19.29
2001,1,18,22,-20.02
2001,1,18,23,-20.73
2001,1,19,0,-21.37
2001,1,19,1,-21.97
2001,1,19,2,-22.56
2001,1,19,3,-23.27
2001,1,19,4,-24.17
2001,1,19,5,-25.2
2001,1,19,6,-26.28
2001,1,19,7,-27.34
2001,1,19,8,-27.67
2001,1,19,9,-25.57
2001,1,19,10,-23.27
2001,1,19,11,-20.89
2001,1,19,12,-18.95
2001,1,19,13,-17.71
2001,1,19,14,-16.89
2001,1,19,15,-16.82
2001,1,19,16,-18.62
2001,1,19,17,-21.37
2001,1,19,18,-22.23
2001,1,19,19,-21.62
2001,1,19,20,-20.29
2001,1,19,21,-19.21
2001,1,19,22,-18.88
2001,1,19,23,-18.88
2001,1,20,0,-18.78
2001,1,20,1,-18.57
2001,1,20,2,-18.4
2001,1,20,3,-18.46
2001,1,20,4,-18.92
2001,1,20,5,-19.69
2001,1,20,6,-20.34
2001,1,20,7,-20.81
2001,1,20,8,-20.61
2001,1,20,9,-18.03
2001,1,20,10,-15.32
2001,1,20,11,-13.49
2001,1,20,12,-11.73
2001,1,20,13,-9.94
2001,1,20,14,-8.56
2001,1,20,15,-8.71
2001,1,20,16,-10.83
2001,1,20,17,-13.83
2001,1,20,18,-15.63
2001,1,20,19,-16.3
2001,1,20,20,-16.02
2001,1,20,21,-15.54
2001,1,20,22,-15.7
2001,1,20,23,-16.38
2001,1,21,0,-17.0
2001,1,21,1,-17.43
2001,1,21,2,-17.84
2001,1,21,3,-18.27
2001,1,21,4,-18.63
2001,1,21,5,-18.94
2001,1,21,6,-19.0
2001,1,21,7,-18.83
2001,1,21,8,-18.35
2001,1,21,9,-16.61
2001,1,21,10,-14.77
2001,1,21,11,-12.7
2001,1,21,12,-10.46
2001,1,21,13,-8.54
2001,1,21,14,-7.58
2001,1,21,15,-7.38
2001,1,21,16,-8.52
2001,1,21,17,-10.14
2001,1,21,18,-10.52
2001,1,21,19,-10.45
2001,1,21,20,-10.24
2001,1,21,21,-10.24
2001,1,21,22,-10.41
2001,1,21,23,-10.49
2001,1,22,0,-10.49
2001,1,22,1,-10.25
2001,1,22,2,-9.92
2001,1,22,3,-9.64
2001,1,22,4,-9.34
2001,1,22,5,-8.98
2001,1,22,6,-8.66
2001,1,22,7,-8.46
2001,1,22,8,-8.13
2001,1,22,9,-7.09
2001,1,22,10,-6.12
2001,1,22,11,-5.05
2001,1,22,12,-4.01
2001,1,22,13,-3.3
2001,1,22,14,-2.69
2001,1,22,15,-2.47
2001,1,22,16,-3.09
2001,1,22,17,-4.03
2001,1,22,18,-4.19
2001,1,22,19,-4.24
