-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2001 through 12/31/2009 
Location: Latitude  47.0   Longitude -95.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 438.39 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_PAR_TOT
2000,12,31,18,0.0
2000,12,31,19,0.0
2000,12,31,20,0.0
2000,12,31,21,0.0
2000,12,31,22,0.0
2000,12,31,23,0.0
2001,1,1,0,0.0
2001,1,1,1,0.0
2001,1,1,2,0.0
2001,1,1,3,0.0
2001,1,1,4,0.0
2001,1,1,5,0.0
2001,1,1,6,0.0
2001,1,1,7,0.0
2001,1,1,8,7.98
2001,1,1,9,59.08
2001,1,1,10,106.48
2001,1,1,11,137.65
2001,1,1,12,147.2
2001,1,1,13,138.35
2001,1,1,14,103.67
2001,1,1,15,52.7
2001,1,1,16,4.83
2001,1,1,17,0.0
2001,1,1,18,0.0
2001,1,1,19,0.0
2001,1,1,20,0.0
2001,1,1,21,0.0
2001,1,1,22,0.0
2001,1,1,23,0.0
2001,1,2,0,0.0
2001,1,2,1,0.0
2001,1,2,2,0.0
2001,1,2,3,0.0
2001,1,2,4,0.0
2001,1,2,5,0.0
2001,1,2,6,0.0
2001,1,2,7,0.0
2001,1,2,8,7.92
2001,1,2,9,45.2
2001,1,2,10,83.1
2001,1,2,11,131.58
2001,1,2,12,85.23
2001,1,2,13,67.42
2001,1,2,14,62.6
2001,1,2,15,32.88
2001,1,2,16,3.9
2001,1,2,17,0.0
2001,1,2,18,0.0
2001,1,2,19,0.0
2001,1,2,20,0.0
2001,1,2,21,0.0
2001,1,2,22,0.0
2001,1,2,23,0.0
2001,1,3,0,0.0
2001,1,3,1,0.0
2001,1,3,2,0.0
2001,1,3,3,0.0
2001,1,3,4,0.0
2001,1,3,5,0.0
2001,1,3,6,0.0
2001,1,3,7,0.0
2001,1,3,8,7.27
2001,1,3,9,24.55
2001,1,3,10,51.48
2001,1,3,11,61.7
2001,1,3,12,63.3
2001,1,3,13,56.8
2001,1,3,14,38.92
2001,1,3,15,45.58
2001,1,3,16,4.25
2001,1,3,17,0.0
2001,1,3,18,0.0
2001,1,3,19,0.0
2001,1,3,20,0.0
2001,1,3,21,0.0
2001,1,3,22,0.0
2001,1,3,23,0.0
2001,1,4,0,0.0
2001,1,4,1,0.0
2001,1,4,2,0.0
2001,1,4,3,0.0
2001,1,4,4,0.0
2001,1,4,5,0.0
2001,1,4,6,0.0
2001,1,4,7,0.0
2001,1,4,8,5.65
2001,1,4,9,36.67
2001,1,4,10,58.88
2001,1,4,11,68.8
