Time,co2_maintn_mba,co2_growth,co2_maintn_mbd,mom_dom,pomo_mom
1.0,1.2109907186644446e-7,9.024329055523225e-7,7.292292426962511e-9,2.21756744851801e-6,7.251311782273044e-8
2.0,1.713804096371123e-7,1.3092348635739733e-6,7.253215270394961e-9,2.247889598196592e-6,7.409200343359435e-8
3.0,2.1157261254849842e-7,1.5766436896230445e-6,7.214348680912739e-9,2.20798688616252e-6,7.231140864996038e-8
4.0,2.5794490669261424e-7,1.9222110296250706e-6,7.175666667425529e-9,2.203374807247842e-6,7.20856819944022e-8
5.0,3.1526983906718e-7,2.408456518537371e-6,7.137196627555205e-9,2.2338623978538518e-6,7.34000371351334e-8
6.0,3.65224825634769e-7,2.7900801251219486e-6,7.098938298365314e-9,2.2294694494767237e-6,7.317093087692782e-8
7.0,4.1615870693304163e-7,3.1791818507744727e-6,7.060889312553163e-9,2.2252149940978817e-6,7.294269441376903e-8
8.0,4.833468243585277e-7,3.783220834481254e-6,7.0230525325169914e-9,2.2556478323649945e-6,7.423835303649978e-8
9.0,5.384314098908889e-7,4.214375320540756e-6,6.985465947320922e-9,2.251654536100538e-6,7.400684770947072e-8
10.0,5.947201548105273e-7,4.65495492465711e-6,6.948030003476009e-9,2.247814342973991e-6,7.377623820548344e-8
11.0,6.316012666471057e-7,4.825022882853495e-6,6.910783723195912e-9,2.209752690696244e-6,7.203768656546678e-8
12.0,6.657289051237235e-7,4.961026215159938e-6,6.8737397701207836e-9,2.1716796472584707e-6,7.030782628681842e-8
13.0,7.445246937965542e-7,5.687684420723329e-6,6.836902188816876e-9,2.2028316976979916e-6,7.159106279434457e-8
14.0,7.772099893967234e-7,5.791785668919907e-6,6.80026230874608e-9,2.1651702014360634e-6,6.987227429506239e-8
15.0,8.342265470824387e-7,6.21667429130058e-6,6.763821000165738e-9,2.162124459183257e-6,6.965589624643581e-8
16.0,9.836537659650277e-7,7.891134736848472e-6,6.727613147424928e-9,2.2629062922817248e-6,7.395152114482234e-8
17.0,1.051828916805591e-6,8.438054109906593e-6,6.691571805951806e-9,2.260240324155514e-6,7.372218982601844e-8
18.0,1.1215507638808124e-6,8.997381495628286e-6,6.655712326723405e-9,2.2577643662777234e-6,7.349379370328076e-8
19.0,1.1928541039716263e-6,9.569396043137217e-6,6.620042150842726e-9,2.25548274045147e-6,7.326633534561771e-8
20.0,1.3071420378920992e-6,1.0741887925368181e-5,6.584568470965086e-9,2.288185474851881e-6,7.455691225509761e-8
21.0,1.3855557774656323e-6,1.1386279718983979e-5,6.549261703354394e-9,2.2863581992792824e-6,7.432642623215432e-8
22.0,1.4658498936033266e-6,1.2046124151811263e-5,6.514145443770413e-9,2.284749815177791e-6,7.409691636450003e-8
23.0,1.548078733919903e-6,1.2721867844010206e-5,6.47921824505548e-9,2.2833655565624583e-6,7.386838646146916e-8
24.0,1.6322990024828122e-6,1.3413976780699351e-5,6.444477176286499e-9,2.282210798393899e-6,7.364084056510675e-8
25.0,1.7185613122318122e-6,1.412286689106671e-5,6.409925148855305e-9,2.28129105217408e-6,7.341428295038203e-8
26.0,1.7497305903023952e-6,1.40368088030606e-5,6.375557801972265e-9,2.245917009772941e-6,7.169943854070069e-8
27.0,1.8355576513070364e-6,1.4725336541060858e-5,6.3413759727977605e-9,2.245384428687705e-6,7.147962640074346e-8
28.0,1.9234065483265186e-6,1.543008399067202e-5,6.307370526765861e-9,2.2450906989378766e-6,7.126078454804185e-8
29.0,2.0791392023607584e-6,1.708603934811425e-5,6.273544591463076e-9,2.2797362689492218e-6,7.251857513762543e-8
30.0,2.1763607357887994e-6,1.788499063706565e-5,6.2399015221206674e-9,2.280062950675969e-6,7.229701371363122e-8
